Lần chạy 1...
Decode time: 0.150448 seconds
Decode time: 0.159435 seconds
Decode time: 0.146279 seconds
Decode time: 0.143903 seconds
Decode time: 0.0407835 seconds
Decode time: 0.107359 seconds
Decode time: 0.0557061 seconds
Decode time: 0.0532787 seconds
Decode time: 0.153152 seconds
Decode time: 0.130911 seconds
Decode time: 0.148838 seconds
Decode time: 0.131352 seconds
Decode time: 0.0625645 seconds
Decode time: 0.0950188 seconds
Decode time: 0.148184 seconds
Decode time: 0.198062 seconds
Decode time: 0.143947 seconds
Decode time: 0.0824751 seconds
Decode time: 0.0480996 seconds
Decode time: 0.096023 seconds
Decode time: 0.0480959 seconds
Decode time: 0.17769 seconds
Decode time: 0.144252 seconds
Decode time: 0.0922308 seconds
Decode time: 0.0544265 seconds
Decode time: 0.0524049 seconds
Decode time: 0.148082 seconds
Decode time: 0.13139 seconds
Decode time: 0.121868 seconds
Decode time: 0.138718 seconds
Decode time: 0.0570971 seconds
Decode time: 0.0450266 seconds
Decode time: 0.099347 seconds
Decode time: 0.0896472 seconds
Decode time: 0.0474885 seconds
Decode time: 0.0962581 seconds
Decode time: 0.187934 seconds
Decode time: 0.120511 seconds
Decode time: 0.0825505 seconds
Decode time: 0.0457129 seconds
Decode time: 0.103943 seconds
Decode time: 0.0649698 seconds
Decode time: 0.246351 seconds
Decode time: 0.15313 seconds
Decode time: 0.198231 seconds
Decode time: 0.0379539 seconds
Decode time: 0.0468498 seconds
Decode time: 0.112251 seconds
Decode time: 0.0640826 seconds
Decode time: 0.138982 seconds
Decode time: 0.143455 seconds
Decode time: 0.12967 seconds
Decode time: 0.189255 seconds
Decode time: 0.126912 seconds
Decode time: 0.122479 seconds
Decode time: 0.116718 seconds
Decode time: 0.188244 seconds
Decode time: 0.0854386 seconds
Decode time: 0.0520268 seconds
Decode time: 0.0847877 seconds
Decode time: 0.0859829 seconds
Decode time: 0.045323 seconds
Decode time: 0.1125 seconds
Decode time: 0.114988 seconds
Decode time: 0.129693 seconds
Decode time: 0.122757 seconds
Decode time: 0.121671 seconds
Decode time: 0.0569247 seconds
Decode time: 0.0400576 seconds
Decode time: 0.0369454 seconds
Decode time: 0.0513368 seconds
Decode time: 0.232029 seconds
Decode time: 0.140492 seconds
Decode time: 0.185147 seconds
Decode time: 0.0412091 seconds
Decode time: 0.0548319 seconds
Decode time: 0.0455902 seconds
Decode time: 0.166615 seconds
Decode time: 0.163766 seconds
Decode time: 0.174887 seconds
Decode time: 0.220378 seconds
Decode time: 0.120532 seconds
Decode time: 0.185549 seconds
Decode time: 0.0561796 seconds
Decode time: 0.0847864 seconds
Decode time: 0.121862 seconds
Decode time: 0.117783 seconds
Decode time: 0.150985 seconds
Decode time: 0.121384 seconds
Decode time: 0.15252 seconds
Decode time: 0.0955044 seconds
Decode time: 0.0521472 seconds
Decode time: 0.0455484 seconds
Decode time: 0.0896097 seconds
Decode time: 0.183333 seconds
Decode time: 0.138408 seconds
Decode time: 0.205186 seconds
Decode time: 0.0912415 seconds
Decode time: 0.0499716 seconds
Decode time: 0.229396 seconds
Decode time: 0.144438 seconds
Decode time: 0.121308 seconds
Decode time: 0.136265 seconds
Decode time: 0.147084 seconds
Decode time: 0.210962 seconds
Decode time: 0.110877 seconds
Decode time: 0.0477131 seconds
Decode time: 0.0477984 seconds
Decode time: 0.0928081 seconds
Decode time: 0.191978 seconds
Decode time: 0.13154 seconds
Decode time: 0.117181 seconds
Decode time: 0.147145 seconds
Decode time: 0.0640172 seconds
Decode time: 0.051778 seconds
Decode time: 0.138133 seconds
Decode time: 0.0865896 seconds
Decode time: 0.0384724 seconds
Decode time: 0.0818802 seconds
Decode time: 0.0499293 seconds
Decode time: 0.12195 seconds
Decode time: 0.145338 seconds
Decode time: 0.250856 seconds
Decode time: 0.054683 seconds
Decode time: 0.0882071 seconds
Decode time: 0.231479 seconds
Decode time: 0.142116 seconds
Decode time: 0.217631 seconds
Decode time: 0.145577 seconds
Decode time: 0.163667 seconds
Decode time: 0.0642556 seconds
Decode time: 0.225456 seconds
Decode time: 0.151747 seconds
Decode time: 0.117755 seconds
Decode time: 0.112107 seconds
Decode time: 0.126774 seconds
Decode time: 0.0521938 seconds
Decode time: 0.0594862 seconds
Decode time: 0.0923383 seconds
Decode time: 0.202479 seconds
Decode time: 0.0739406 seconds
Decode time: 0.134831 seconds
Decode time: 0.122294 seconds
Decode time: 0.130374 seconds
Decode time: 0.130685 seconds
Decode time: 0.134756 seconds
Decode time: 0.091998 seconds
Decode time: 0.0630914 seconds
Decode time: 0.147166 seconds
Decode time: 0.220011 seconds
Decode time: 0.134994 seconds
Decode time: 0.139247 seconds
Decode time: 0.121184 seconds
Decode time: 0.116739 seconds
Decode time: 0.0940339 seconds
Decode time: 0.0532687 seconds
Decode time: 0.241747 seconds
Decode time: 0.147327 seconds
Decode time: 0.0928735 seconds
Decode time: 0.126559 seconds
Decode time: 0.0473572 seconds
Decode time: 0.0843415 seconds
Decode time: 0.0412054 seconds
Decode time: 0.153719 seconds
Decode time: 0.214393 seconds
Decode time: 0.140204 seconds
Decode time: 0.0889591 seconds
Decode time: 0.0714656 seconds
Decode time: 0.0659658 seconds
Decode time: 0.210825 seconds
Decode time: 0.13325 seconds
Decode time: 0.146038 seconds
Decode time: 0.172889 seconds
Decode time: 0.114547 seconds
Decode time: 0.144951 seconds
Decode time: 0.146097 seconds
Decode time: 0.0503008 seconds
Decode time: 0.0565368 seconds
Decode time: 0.0928869 seconds
Decode time: 0.0502062 seconds
Decode time: 0.150997 seconds
Decode time: 0.124723 seconds
Decode time: 0.127144 seconds
Decode time: 0.0787947 seconds
Decode time: 0.202213 seconds
Decode time: 0.098654 seconds
Decode time: 0.0880129 seconds
Decode time: 0.0650888 seconds
Decode time: 0.221214 seconds
Decode time: 0.144197 seconds
Decode time: 0.041504 seconds
Decode time: 0.0561551 seconds
Decode time: 0.0452569 seconds
Decode time: 0.102072 seconds
Decode time: 0.151791 seconds
Decode time: 0.199024 seconds
Decode time: 0.140338 seconds
Decode time: 0.128201 seconds
Decode time: 0.121034 seconds
Decode time: 0.045983 seconds
Decode time: 0.0433169 seconds
Decode time: 0.0899222 seconds
Decode time: 0.0557469 seconds
Decode time: 0.150942 seconds
Decode time: 0.154654 seconds
Decode time: 0.149266 seconds
Decode time: 0.156741 seconds
Decode time: 0.0948131 seconds
Decode time: 0.208706 seconds
Decode time: 0.152761 seconds
Decode time: 0.0794896 seconds
Decode time: 0.136055 seconds
Decode time: 0.0546472 seconds
Decode time: 0.237812 seconds
Decode time: 0.226741 seconds
Decode time: 0.155069 seconds
Decode time: 0.161854 seconds
Decode time: 0.151319 seconds
Decode time: 0.171202 seconds
Decode time: 0.230707 seconds
Decode time: 0.11852 seconds
Decode time: 0.0521789 seconds
Decode time: 0.211849 seconds
Decode time: 0.104377 seconds
Decode time: 0.0589765 seconds
Decode time: 0.213521 seconds
Decode time: 0.154456 seconds
Decode time: 0.164739 seconds
Decode time: 0.180125 seconds
Decode time: 0.153321 seconds
Decode time: 0.18364 seconds
Decode time: 0.0469731 seconds
Decode time: 0.109696 seconds
Decode time: 0.147296 seconds
Decode time: 0.168702 seconds
Decode time: 0.0762352 seconds
Decode time: 0.0452209 seconds
Decode time: 0.0492065 seconds
Decode time: 0.202618 seconds
Decode time: 0.0938678 seconds
Decode time: 0.0575447 seconds
Decode time: 0.148865 seconds
Decode time: 0.13251 seconds
Decode time: 0.203192 seconds
Decode time: 0.158795 seconds
Decode time: 0.0532221 seconds
Decode time: 0.111777 seconds
Decode time: 0.06056 seconds
Decode time: 0.223178 seconds
Decode time: 0.153511 seconds
Decode time: 0.162688 seconds
Decode time: 0.161462 seconds
Decode time: 0.133045 seconds
Decode time: 0.215635 seconds
Decode time: 0.0909508 seconds
